date,ff3_mkt_rf,ff3_smb,ff3_hml,ff3_rf,ff3_mom,ff5_mkt_rf,ff5_smb,ff5_hml,ff5_rmw,ff5_cma,ff5_rf,ff5_mom,vix_open,vix_high,vix_low,vix_close,vxx_open,vxoh,vxol,vxn,vxno,vxnh,vxnl,vxnd,vxdo,vxdh,vxdn,vxdl,riskfree_mktrf,riskfree_smb,riskfree_hml,riskfree_rf,riskfree_umd
2014-01-22,0.0015,0.003,0.0022,0.0,0.0029,0.0015,0.0031,0.0022,-0.0017,-0.0018,0.0,0.0029,12.57,13.12,12.55,12.84,11.5,11.86,11.35,11.55,14.34,14.52,14.22,14.43,12.42,12.91,12.28,12.66,0.0015,0.003,0.0022,0.0,0.0029
2014-01-23,-0.0086,0.0016,-0.0052,0.0,-0.0055,-0.0086,0.0009,-0.0052,0.0019,-0.001,0.0,-0.0055,13.67,14.66,13.67,13.77,12.6,13.7,12.34,12.67,14.44,15.94,14.17,15.33,12.66,14.26,12.66,13.63,-0.0086,0.0016,-0.0052,0.0,-0.0055
2014-01-24,-0.0218,-0.0038,0.0018,0.0,-0.0101,-0.0218,-0.0038,0.0018,0.0022,0.0007,0.0,-0.0101,14.95,18.14,14.92,18.14,14.07,16.33,13.44,16.33,15.33,18.84,15.33,18.84,13.61,17.43,13.61,17.43,-0.0218,-0.0038,0.0018,0.0,-0.0101
2014-01-27,-0.0065,-0.0084,0.0039,0.0,-0.0057,-0.0065,-0.0078,0.0039,0.0045,0.0039,0.0,-0.0057,17.29,18.99,16.85,17.42,15.13,17.48,15.05,15.61,18.49,20.45,17.7,18.87,17.48,18.15,14.55,16.69,-0.0065,-0.0084,0.0039,0.0,-0.0057
2014-01-28,0.0073,0.0018,0.0003,0.0,0.0082,0.0073,0.0017,0.0003,-0.0083,0.0015,0.0,0.0082,17.27,17.28,15.8,15.8,15.72,15.74,14.71,14.92,18.48,19.17,17.29,17.65,16.69,16.69,13.94,15.32,0.0073,0.0018,0.0003,0.0,0.0082
2014-01-29,-0.0107,-0.0039,0.0023,0.0,-0.0054,-0.0107,-0.0033,0.0023,0.0015,0.0013,0.0,-0.0054,17.95,18.04,16.71,17.35,16.93,17.18,15.81,16.58,18.69,19.31,17.09,18.69,15.32,17.52,11.55,16.8,-0.0107,-0.0039,0.0023,0.0,-0.0054
2014-01-30,0.0122,0.0029,-0.0038,0.0,0.012,0.0122,0.0021,-0.0038,-0.0088,-0.0053,0.0,0.012,16.37,17.39,15.96,17.29,15.53,16.07,14.73,15.78,17.8,18.67,16.76,18.65,16.8,16.83,15.67,16.82,0.0122,0.0029,-0.0038,0.0,0.012
2014-01-31,-0.0066,-0.0008,-0.0032,0.0,0.001,-0.0066,-0.001,-0.0032,0.0021,-0.0021,0.0,0.001,18.71,18.99,17.27,18.41,17.94,18.2,16.12,17.44,18.13,19.24,17.75,18.97,16.83,18.6,16.83,17.91,-0.0066,-0.0008,-0.0032,0.0,0.001
2014-02-03,-0.0248,-0.0086,0.0029,0.0,-0.0087,-0.0248,-0.0084,0.0029,0.0022,0.0005,0.0,-0.0087,18.57,21.48,18.34,21.44,17.26,20.06,17.26,19.77,19.09,21.89,18.29,21.44,17.93,20.67,13.26,20.67,-0.0248,-0.0086,0.0029,0.0,-0.0087
2014-02-04,0.0077,-0.0002,-0.0005,0.0,0.0045,0.0077,-0.0005,-0.0005,-0.0014,0.0022,0.0,0.0045,19.99,20.07,18.44,19.11,18.97,19.02,17.14,17.59,21.46,21.46,19.71,20.1,20.67,20.67,18.08,18.55,0.0077,-0.0002,-0.0005,0.0,0.0045
2014-02-05,-0.0023,-0.0062,0.002,0.0,-0.0009,-0.0023,-0.0058,0.002,0.0015,0.0024,0.0,-0.0009,19.59,20.72,19.13,19.95,18.07,19.39,17.56,18.52,20.53,22.18,19.47,21.15,18.56,19.82,14.45,19.03,-0.0023,-0.0062,0.002,0.0,-0.0009
2014-02-06,0.0122,-0.0047,0.0028,0.0,0.0017,0.0122,-0.0042,0.0028,0.0004,-0.0005,0.0,0.0017,19.09,19.09,17.09,17.23,17.93,17.94,16.35,16.55,21.15,21.15,18.63,19.48,19.03,19.03,16.54,16.78,0.0122,-0.0047,0.0028,0.0,0.0017
2014-02-07,0.0133,-0.0017,-0.0065,0.0,0.0058,0.0133,-0.0023,-0.0065,-0.0042,-0.005,0.0,0.0058,16.15,16.31,15.09,15.29,15.03,15.59,13.72,14.05,18.19,18.4,16.56,16.71,16.78,16.78,14.77,14.91,0.0133,-0.0017,-0.0065,0.0,0.0058
2014-02-10,0.0016,0.0013,-0.0047,0.0,-0.001,0.0016,0.0006,-0.0047,-0.003,-0.0018,0.0,-0.001,15.63,15.76,15.1,15.26,14.2,14.42,13.7,13.84,16.71,17.36,16.29,16.53,14.91,15.49,14.91,15.04,0.0016,0.0013,-0.0047,0.0,-0.001
2014-02-11,0.011,-0.0019,0.0025,0.0,0.0007,0.011,-0.0017,0.0025,0.0001,0.0009,0.0,0.0007,15.29,15.29,14.08,14.51,13.56,13.65,12.24,12.75,16.54,16.63,15.36,15.84,15.03,15.13,13.87,14.09,0.011,-0.0019,0.0025,0.0,0.0007
2014-02-12,0.0011,0.0025,-0.0005,0.0,0.0027,0.0011,0.0025,-0.0005,0.0018,0.0001,0.0,0.0027,14.31,14.64,14.02,14.3,12.92,13.53,12.66,13.48,15.84,16.07,15.55,15.93,14.09,14.25,13.78,13.97,0.0011,0.0025,-0.0005,0.0,0.0027
2014-02-13,0.0072,0.0071,-0.0008,0.0,0.0038,0.0072,0.0067,-0.0008,-0.0019,-0.0034,0.0,0.0038,15.24,15.24,13.98,14.14,13.89,13.89,12.69,12.7,16.48,16.49,15.36,15.49,13.97,14.78,13.57,13.83,0.0072,0.0071,-0.0008,0.0,0.0038
2014-02-14,0.0042,-0.0037,0.0037,0.0,-0.0033,0.0042,-0.0033,0.0037,0.0037,0.0034,0.0,-0.0033,14.21,14.22,13.44,13.57,13.04,13.49,12.03,12.13,15.49,15.82,14.37,14.8,13.83,13.98,12.86,13.15,0.0042,-0.0037,0.0037,0.0,-0.0033
2014-02-18,0.0027,0.0097,-0.0026,0.0,0.007,0.0027,0.0094,-0.0026,-0.0032,-0.0028,0.0,0.007,13.95,14.51,13.77,13.87,13.17,13.86,12.83,13.16,14.29,15.62,14.29,15.23,13.14,14.12,13.14,13.7,0.0027,0.0097,-0.0026,0.0,0.007
2014-02-19,-0.0074,-0.0028,-0.0044,0.0,-0.0034,-0.0074,-0.0033,-0.0044,0.003,0.0001,0.0,-0.0034,14.85,15.73,14.12,15.5,13.38,14.25,12.93,14.24,15.64,16.56,14.82,16.32,13.7,15.0,13.05,14.96,-0.0074,-0.0028,-0.0044,0.0,-0.0034
2014-02-20,0.0071,0.0057,-0.0021,0.0,0.0049,0.0071,0.0053,-0.0021,-0.0007,-0.0023,0.0,0.0049,15.28,15.8,14.59,14.79,14.36,15.47,13.11,13.82,16.38,16.76,15.26,15.91,14.96,15.16,14.17,14.4,0.0071,0.0057,-0.0021,0.0,0.0049
2014-02-21,-0.0009,0.0034,-0.0003,0.0,0.0023,-0.0009,0.0035,-0.0003,0.0001,-0.0005,0.0,0.0023,14.74,14.79,14.19,14.68,13.1,13.48,12.76,12.85,15.6,16.07,14.3,15.81,14.4,14.4,11.89,14.2,-0.0009,0.0034,-0.0003,0.0,0.0023
2014-02-24,0.0065,0.0018,0.0033,0.0,0.0039,0.0065,0.0021,0.0033,-0.0017,-0.0001,0.0,0.0039,14.83,14.83,13.97,14.23,12.6,12.67,12.08,12.51,16.09,16.1,15.01,15.24,14.2,14.23,13.43,13.81,0.0065,0.0018,0.0033,0.0,0.0039
2014-02-25,-0.001,0.0014,-0.006,0.0,0.0011,-0.001,0.0005,-0.006,-0.0007,0.0007,0.0,0.0011,14.17,14.83,13.66,13.67,12.93,13.28,12.46,12.79,15.24,15.69,14.24,15.15,13.81,14.29,9.8,13.41,-0.001,0.0014,-0.006,0.0,0.0011
2014-02-26,0.0013,0.0068,-0.0008,0.0,-0.001,0.0013,0.0065,-0.0008,-0.0002,0.0003,0.0,-0.001,13.83,14.54,13.73,14.35,12.93,13.44,12.59,13.18,15.15,15.54,14.14,15.29,13.41,13.84,11.78,13.7,0.0013,0.0068,-0.0008,0.0,-0.001
2014-02-27,0.0054,0.0014,0.0,0.0,0.0004,0.0054,0.0009,0.0,-0.0024,-0.0005,0.0,0.0004,14.56,14.69,13.92,14.04,13.17,13.42,12.41,12.55,15.31,15.58,14.64,14.79,13.7,13.87,13.19,13.27,0.0054,0.0014,0.0,0.0,0.0004
2014-02-28,0.0015,-0.0073,0.0084,0.0,-0.0024,0.0015,-0.0066,0.0084,0.0042,0.0013,0.0,-0.0024,14.22,14.79,13.49,14.0,12.53,13.8,12.17,12.93,14.79,15.58,13.6,15.01,13.27,13.98,10.66,13.22,0.0015,-0.0073,0.0084,0.0,-0.0024
2014-03-03,-0.007,0.001,0.0014,0.0,-0.0006,-0.007,0.001,0.0014,0.0004,0.001,0.0,-0.0006,16.47,16.78,15.38,16.0,14.16,15.49,13.75,14.5,16.25,17.5,15.6,16.85,13.22,15.85,10.98,15.19,-0.007,0.001,0.0014,0.0,-0.0006
2014-03-04,0.0167,0.0111,-0.0013,0.0,0.008,0.0167,0.0107,-0.0013,-0.0046,-0.0015,0.0,0.008,14.53,14.54,14.0,14.1,13.18,13.21,12.41,12.8,16.0,16.0,15.16,15.41,15.19,15.19,13.39,13.55,0.0167,0.0111,-0.0013,0.0,0.008
2014-03-05,0.0001,-0.0026,0.0028,0.0,0.0035,0.0001,-0.0021,0.0028,-0.0057,-0.0011,0.0,0.0035,14.13,14.32,13.81,13.89,12.75,13.15,12.47,12.77,15.41,15.45,14.87,15.22,13.55,13.79,12.47,13.44,0.0001,-0.0026,0.0028,0.0,0.0035
2014-03-06,0.0016,-0.0032,0.0077,0.0,-0.005,0.0016,-0.0023,0.0077,0.0032,0.0036,0.0,-0.005,13.82,14.42,13.73,14.21,12.59,13.45,12.48,12.98,15.22,15.22,14.47,14.94,13.44,13.66,13.12,13.46,0.0016,-0.0032,0.0077,0.0,-0.005
2014-03-07,0.0004,-0.0012,0.0052,0.0,-0.0025,0.0004,-0.0002,0.0052,0.0017,0.0034,0.0,-0.0025,13.51,14.43,13.51,14.11,12.93,13.5,12.73,12.97,14.53,15.66,14.51,15.23,13.45,13.68,13.01,13.37,0.0004,-0.0012,0.0052,0.0,-0.0025
2014-03-10,-0.0009,-0.001,0.0008,0.0,0.0,-0.0009,-0.0007,0.0008,0.0002,-0.0013,0.0,0.0,14.76,15.28,14.2,14.2,13.32,13.85,12.53,12.62,15.78,16.11,15.37,15.52,13.37,14.51,13.37,13.65,-0.0009,-0.001,0.0008,0.0,0.0
2014-03-11,-0.0062,-0.0053,-0.0019,0.0,-0.0008,-0.0062,-0.0055,-0.0019,0.0045,-0.0004,0.0,-0.0008,14.22,14.93,13.84,14.8,12.95,13.63,12.46,13.29,15.52,15.97,14.76,15.78,13.65,14.08,11.82,14.03,-0.0062,-0.0053,-0.0019,0.0,-0.0008
2014-03-12,0.0013,0.003,-0.0017,0.0,-0.0005,0.0013,0.0029,-0.0017,-0.0011,-0.0044,0.0,-0.0005,15.37,15.64,14.43,14.47,14.57,14.65,13.09,13.1,15.76,16.64,15.37,15.54,14.04,14.74,13.7,13.83,0.0013,0.003,-0.0017,0.0,-0.0005
2014-03-13,-0.0121,-0.0012,0.0022,0.0,-0.0033,-0.0121,-0.0006,0.0022,0.0015,0.0004,0.0,-0.0033,14.28,16.66,14.24,16.22,13.01,15.96,12.93,15.54,15.54,17.75,14.73,17.47,13.83,15.91,13.54,15.54,-0.0121,-0.0012,0.0022,0.0,-0.0033
2014-03-14,-0.0016,0.0068,-0.001,0.0,-0.0015,-0.0016,0.0066,-0.001,0.0017,0.0004,0.0,-0.0015,16.74,18.22,16.09,17.82,15.82,17.79,15.73,17.22,18.01,19.43,16.51,18.89,15.57,16.97,13.33,16.76,-0.0016,0.0068,-0.001,0.0,-0.0015
2014-03-17,0.009,-0.0037,0.0002,0.0,0.0024,0.009,-0.0035,0.0002,0.0015,0.0004,0.0,0.0024,16.39,16.4,15.37,15.64,14.27,14.82,13.83,14.15,18.89,18.89,16.56,17.47,16.76,16.76,14.64,14.81,0.009,-0.0037,0.0002,0.0,0.0024
2014-03-18,0.0082,0.0074,-0.0039,0.0,0.0049,0.0082,0.0068,-0.0039,-0.0032,-0.003,0.0,0.0049,15.42,15.47,14.16,14.52,13.82,13.98,12.78,13.66,19.6,19.6,15.73,15.93,14.8,14.8,13.62,14.06,0.0082,0.0074,-0.0039,0.0,0.0049
2014-03-19,-0.0059,-0.0017,0.0062,0.0,-0.0011,-0.0059,-0.0012,0.0062,-0.0039,0.0003,0.0,-0.0011,14.56,15.95,13.89,15.12,13.54,14.46,12.74,13.44,15.93,16.44,14.5,16.23,14.05,15.3,10.16,14.5,-0.0059,-0.0017,0.0062,0.0,-0.0011
2014-03-20,0.0052,-0.0048,0.0099,0.0,-0.0016,0.0052,-0.0036,0.0099,-0.0017,0.0033,0.0,-0.0016,15.58,15.62,14.5,14.52,13.86,14.21,12.64,13.09,16.79,17.06,16.15,16.18,14.5,15.56,12.78,13.96,0.0052,-0.0048,0.0099,0.0,-0.0016
2014-03-21,-0.0037,-0.0028,0.0087,0.0,-0.011,-0.0037,-0.0016,0.0087,0.0047,0.0045,0.0,-0.011,13.96,15.17,13.77,15.0,12.43,13.45,12.1,13.26,16.18,17.37,15.7,17.35,13.96,14.33,13.07,14.29,-0.0037,-0.0028,0.0087,0.0,-0.011
2014-03-24,-0.0064,-0.009,0.0092,0.0,-0.0101,-0.0064,-0.0078,0.0092,0.0065,0.0038,0.0,-0.0101,14.7,16.07,14.56,15.09,13.08,14.2,12.92,13.38,17.36,19.07,17.27,18.12,14.28,14.94,13.84,14.13,-0.0064,-0.009,0.0092,0.0,-0.0101
2014-03-25,0.0029,-0.0035,0.0014,0.0,-0.0025,0.0029,-0.0034,0.0014,0.0028,0.0014,0.0,-0.0025,14.16,15.05,13.96,14.02,12.57,13.69,12.44,12.73,18.12,18.12,15.97,17.12,14.13,14.16,11.13,13.57,0.0029,-0.0035,0.0014,0.0,-0.0025
2014-03-26,-0.0089,-0.0117,0.0026,0.0,-0.0084,-0.0089,-0.0111,0.0026,0.0065,0.0046,0.0,-0.0084,13.64,15.28,13.46,14.93,12.56,14.09,12.44,13.92,16.81,18.17,16.44,18.14,13.57,14.37,12.94,14.27,-0.0089,-0.0117,0.0026,0.0,-0.0084
2014-03-27,-0.0018,-0.001,-0.0034,0.0,-0.0045,-0.0018,-0.0012,-0.0034,0.0014,0.0,0.0,-0.0045,15.0,15.63,14.49,14.62,14.81,14.85,13.68,14.02,18.11,18.85,17.61,18.49,14.27,14.64,13.1,13.72,-0.0018,-0.001,-0.0034,0.0,-0.0045
2014-03-28,0.0041,-0.0044,0.0055,0.0,-0.0047,0.0041,-0.0037,0.0055,0.0056,0.0031,0.0,-0.0047,14.15,14.86,13.73,14.41,13.24,14.43,12.88,13.45,18.49,18.49,16.99,18.09,13.72,14.02,12.3,13.55,0.0041,-0.0044,0.0055,0.0,-0.0047
2014-03-31,0.0096,0.01,-0.0018,0.0,0.0072,0.0096,0.0099,-0.0018,-0.0021,0.0004,0.0,0.0072,13.88,14.16,13.57,13.88,12.65,12.98,12.28,12.55,18.01,18.2,17.65,18.12,13.55,13.55,12.93,13.16,0.0096,0.01,-0.0018,0.0,0.0072
2014-04-01,0.0087,0.0074,-0.0037,0.0,0.0098,0.0087,0.0065,-0.0037,-0.0019,-0.0028,0.0,0.0098,13.43,13.56,13.06,13.1,12.45,12.58,11.6,11.6,18.12,18.12,16.23,16.74,13.16,13.16,10.43,12.44,0.0087,0.0074,-0.0037,0.0,0.0098
2014-04-02,0.003,0.0003,0.0015,0.0,-0.001,0.003,0.0004,0.0015,0.0007,0.0004,0.0,-0.001,13.17,13.35,12.92,13.09,12.08,12.3,11.7,11.97,16.51,16.79,16.27,16.37,12.44,12.96,12.34,12.51,0.003,0.0003,0.0015,0.0,-0.001
2014-04-03,-0.0031,-0.009,0.0081,0.0,-0.0106,-0.0031,-0.0077,0.0081,0.0056,0.004,0.0,-0.0106,13.02,13.7,13.02,13.37,12.45,12.83,12.23,12.73,16.37,17.14,16.18,16.96,12.51,12.93,11.88,12.73,-0.0031,-0.009,0.0081,0.0,-0.0106
2014-04-04,-0.0147,-0.0113,0.007,0.0,-0.0166,-0.0147,-0.0101,0.007,0.0064,0.0048,0.0,-0.0166,12.88,14.55,12.6,13.96,12.47,14.0,11.88,13.42,16.33,19.39,16.33,18.79,12.73,13.69,12.28,13.12,-0.0147,-0.0113,0.007,0.0,-0.0166
2014-04-07,-0.0125,-0.003,-0.0006,0.0,-0.0104,-0.0125,-0.0035,-0.0006,0.002,0.0003,0.0,-0.0104,14.96,16.01,14.57,15.57,14.3,15.14,13.54,14.26,18.79,20.64,18.79,20.05,13.12,14.84,13.12,14.51,-0.0125,-0.003,-0.0006,0.0,-0.0104
2014-04-08,0.0049,0.0029,-0.0022,0.0,-0.0014,0.0049,0.0029,-0.0022,0.0006,-0.0014,0.0,-0.0014,15.59,16.2,14.81,14.89,14.53,15.19,13.68,14.01,20.05,20.59,18.96,19.11,14.52,15.02,13.88,14.07,0.0049,0.0029,-0.0022,0.0,-0.0014
2014-04-09,0.0121,0.0033,-0.0086,0.0,0.0138,0.0121,0.0022,-0.0086,-0.0046,-0.0053,0.0,0.0138,14.58,14.94,13.7,13.82,13.96,14.4,12.46,12.64,18.7,18.81,17.27,17.72,14.06,14.07,12.83,12.87,0.0121,0.0033,-0.0086,0.0,0.0138
2014-04-10,-0.0224,-0.0071,0.0079,0.0,-0.0185,-0.0224,-0.0061,0.0079,0.0084,0.0076,0.0,-0.0185,13.98,16.38,13.81,15.89,12.87,15.73,12.87,15.55,17.72,20.8,17.44,20.59,12.87,15.06,12.87,14.64,-0.0224,-0.0071,0.0079,0.0,-0.0185
2014-04-11,-0.0107,-0.0039,0.0024,0.0,-0.0052,-0.0107,-0.0038,0.0024,0.0043,0.0003,0.0,-0.0052,16.66,17.85,15.89,17.03,16.5,17.76,15.66,17.19,21.62,23.18,19.81,22.65,14.64,16.16,11.81,15.51,-0.0107,-0.0039,0.0024,0.0,-0.0052
2014-04-14,0.0071,-0.0051,0.002,0.0,-0.0016,0.0071,-0.0048,0.002,0.0032,-0.002,0.0,-0.0016,16.14,17.4,16.1,16.11,15.92,16.87,15.5,15.64,22.65,22.77,21.67,21.7,15.51,15.69,14.55,14.67,0.0071,-0.0051,0.002,0.0,-0.0016
2014-04-15,0.006,-0.0037,0.0019,0.0,0.0,0.006,-0.0035,0.0019,-0.0004,-0.0017,0.0,0.0,16.14,17.5,15.47,15.61,15.29,17.02,14.8,15.03,21.7,23.54,20.56,21.91,14.66,15.7,14.0,14.13,0.006,-0.0037,0.0019,0.0,0.0
2014-04-16,0.0112,0.0006,-0.0037,0.0,0.0091,0.0112,0.0001,-0.0037,-0.0005,-0.0009,0.0,0.0091,14.89,15.27,14.05,14.18,14.29,14.9,13.42,13.53,23.18,23.21,19.68,20.41,14.11,14.11,11.41,12.83,0.0112,0.0006,-0.0037,0.0,0.0091
2014-04-17,0.0023,0.0036,0.0023,0.0,0.0038,0.0023,0.0032,0.0023,-0.0018,0.0016,0.0,0.0038,14.09,14.17,13.07,13.36,13.38,13.7,12.38,12.8,20.25,20.53,19.12,19.39,12.77,12.92,10.94,12.42,0.0023,0.0036,0.0023,0.0,0.0038
2014-04-21,0.0038,0.002,-0.0043,0.0,0.0018,0.0038,0.0017,-0.0043,0.0004,-0.0009,0.0,0.0018,14.1,14.11,13.17,13.25,12.96,13.49,12.46,12.79,19.79,19.99,18.49,18.53,12.42,13.26,12.42,12.59,0.0038,0.002,-0.0043,0.0,0.0018
2014-04-22,0.0057,0.0073,-0.0035,0.0,0.0072,0.0057,0.0069,-0.0035,-0.0069,-0.0009,0.0,0.0072,13.13,13.26,12.9,13.19,12.67,12.79,12.11,12.35,18.53,18.53,17.13,17.18,12.59,12.59,12.14,12.39,0.0057,0.0073,-0.0035,0.0,0.0072
2014-04-23,-0.0031,-0.0064,0.0091,0.0,-0.0027,-0.0031,-0.0054,0.0091,0.0019,0.0024,0.0,-0.0027,13.35,13.75,13.27,13.27,12.96,13.5,12.67,13.13,17.14,17.79,16.84,16.9,12.39,12.71,12.11,12.36,-0.0031,-0.0064,0.0091,0.0,-0.0027
2014-04-24,0.0008,-0.004,-0.0016,0.0,-0.005,0.0008,-0.0042,-0.0016,0.0019,-0.0019,0.0,-0.005,13.36,14.08,13.09,13.32,13.24,13.85,12.73,12.82,16.52,17.97,14.82,17.17,12.36,12.93,12.35,12.4,0.0008,-0.004,-0.0016,0.0,-0.005
2014-04-25,-0.0105,-0.0097,0.0056,0.0,-0.0127,-0.0105,-0.0089,0.0056,0.0081,0.0068,0.0,-0.0127,13.93,14.67,13.91,14.06,13.54,14.6,13.49,13.89,17.17,18.95,17.17,18.59,12.4,13.59,12.14,13.07,-0.0105,-0.0097,0.0056,0.0,-0.0127
2014-04-28,0.0012,-0.0064,-0.0058,0.0,-0.0118,0.0012,-0.0065,-0.0058,0.0116,0.0004,0.0,-0.0118,14.27,15.28,13.82,13.97,13.74,14.45,12.54,12.86,18.85,20.27,18.13,18.74,13.06,14.11,12.05,12.9,0.0012,-0.0064,-0.0058,0.0,-0.0118
2014-04-29,0.0057,-0.0021,-0.0013,0.0,0.007,0.0057,-0.0024,-0.0013,-0.0057,-0.0025,0.0,0.007,13.88,14.24,13.61,13.71,12.89,13.36,12.47,12.65,18.61,18.92,17.46,18.33,12.9,13.16,12.46,12.76,0.0057,-0.0021,-0.0013,0.0,0.007
2014-04-30,0.0035,0.0023,-0.0005,0.0,0.0052,0.0035,0.0021,-0.0005,0.0008,0.0003,0.0,0.0052,14.05,14.18,13.34,13.41,13.28,13.74,12.23,12.33,18.33,18.96,17.29,17.68,12.76,13.04,10.06,12.52,0.0035,0.0023,-0.0005,0.0,0.0052
2014-05-01,0.0004,-0.0015,-0.0017,0.0,0.0007,0.0004,-0.0016,-0.0017,-0.0048,-0.0019,0.0,0.0007,13.64,13.75,13.1,13.25,12.29,12.88,11.97,12.39,17.68,17.77,16.61,17.15,12.52,12.77,12.0,12.47,0.0004,-0.0015,-0.0017,0.0,0.0007
2014-05-02,-0.0008,0.0021,0.0041,0.0,0.0013,-0.0008,0.0027,0.0041,0.0034,0.0019,0.0,0.0013,13.15,13.5,12.83,12.91,12.17,12.92,11.36,11.82,16.78,17.62,16.77,17.03,12.47,12.67,11.33,12.29,-0.0008,0.0021,0.0041,0.0,0.0013
2014-05-05,0.0013,-0.0028,-0.0055,0.0,0.0041,0.0013,-0.0037,-0.0055,0.0014,-0.0028,0.0,0.0041,13.95,14.2,13.08,13.29,12.96,12.96,11.62,11.84,17.96,18.16,16.34,16.78,12.29,13.44,12.07,12.55,0.0013,-0.0028,-0.0055,0.0,0.0041
