,contract_name,last_trade_date,strike,last_price,bid,ask,change,change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date,option_type,dte,date,dte_bucket
83,NVDA250627C00210000,2025-06-17 11:00:00,210,102.61,102.15,103.20,-0.54,-0.52%,20.0,386.0,5.203099999999999,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
86,NVDA250627C00225000,2025-06-16 14:14:00,225,101.46,100.55,101.70,0.00,0.00%,3.0,585.0,4.8281,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
87,NVDA250620C00044000,2025-06-16 09:42:00,44,99.75,100.45,101.20,0.00,0.00%,2.0,5.495,5.4961,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
89,NVDA250620C00045000,2025-06-17 12:45:00,45,99.32,99.60,100.20,-0.66,-0.66%,2.0,8.921,5.582000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
93,NVDA250620C00047000,2025-06-16 15:06:00,47,98.19,97.55,98.20,0.00,0.00%,5.0,1.461,5.328099999999999,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
96,NVDA250620C00048500,2025-06-16 13:23:00,48.5,97.13,96.00,96.70,0.00,0.00%,15.0,1.432,5.1328,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
97,NVDA250620C00049000,2025-06-16 14:08:00,49,96.24,95.60,96.25,0.00,0.00%,50.0,2.238,5.25,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
99,NVDA250620C00050000,2025-06-17 13:03:00,50,94.58,94.45,95.20,-0.07,-0.07%,27.0,29.808,4.9375,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
103,NVDA250620C00052000,2025-06-13 10:46:00,52,90.21,92.55,93.20,0.00,0.00%,3.0,1.198,4.8789,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
105,NVDA250620C00053000,2025-06-13 11:06:00,53,89.60,91.15,92.30,0.00,0.00%,4.0,919.0,4.4297,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
107,NVDA250620C00054000,2025-06-16 13:48:00,54,91.32,90.55,91.20,0.00,0.00%,8.0,1.279,4.7109,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
109,NVDA250620C00055000,2025-06-16 15:16:00,55,89.90,89.55,90.15,0.00,0.00%,150.0,5.511,4.5781,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
110,NVDA250620C00055500,2025-06-13 09:33:00,55.5,87.93,88.95,89.70,0.00,0.00%,2.0,1.757,4.4844,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
113,NVDA250620C00057000,2025-06-17 12:54:00,57,87.53,87.45,88.35,0.59,0.68%,7.0,1.146,4.5195,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
115,NVDA250620C00058000,2025-06-17 11:58:00,58,86.72,86.55,87.15,1.77,2.08%,40.0,3.01,4.3438,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
117,NVDA250620C00059000,2025-06-16 11:10:00,59,87.00,85.45,86.20,0.00,0.00%,4.0,2.593,4.2188,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
119,NVDA250620C00060000,2025-06-17 12:32:00,60,85.00,84.60,84.90,0.10,0.12%,41.0,12.429,3.9805,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
121,NVDA250620C00061000,2025-06-16 13:35:00,61,84.49,83.50,84.15,0.00,0.00%,2.0,4.294,4.0742,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
122,NVDA250620C00061500,2025-04-24 11:55:00,61.5,44.85,69.65,70.45,0.00,0.00%,1.0,1.519,0.0,"Jun 20, 2025",2025-06-20,call,56,2025-04-24,long
123,NVDA250620C00062000,2025-06-17 09:30:00,62,82.46,82.50,83.15,2.36,2.95%,1.0,4.434,4.0039,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
124,NVDA250620C00062500,2025-06-17 12:19:00,62.5,82.46,82.10,82.80,0.46,0.56%,5.0,1.202,4.1914,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
125,NVDA250620C00063000,2025-06-16 11:07:00,63,82.80,81.45,82.20,0.00,0.00%,20.0,17.581,3.9336,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
128,NVDA250620C00064500,2025-06-13 09:48:00,64.5,78.73,80.10,80.70,0.00,0.00%,1.0,722.0,3.9668,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
129,NVDA250620C00065000,2025-06-17 12:40:00,65,79.95,79.55,80.15,0.23,0.29%,22.0,15.867,3.8476999999999997,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
131,NVDA250620C00066000,2025-06-16 09:35:00,66,77.88,78.50,79.20,0.00,0.00%,10.0,2.374,3.7773000000000003,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
132,NVDA250620C00066500,2025-04-06 09:50:00,66.5,74.90,78.10,78.70,0.00,0.00%,2.0,1.07,3.832,"Jun 20, 2025",2025-06-20,call,74,2025-04-06,long
135,NVDA250620C00068000,2025-06-13 11:58:00,68,75.12,76.50,77.15,0.00,0.00%,10.0,2.387,3.6055,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
136,NVDA250620C00068500,2025-06-16 14:53:00,68.5,76.60,75.70,76.70,0.00,0.00%,45.0,1.189,3.3125,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
137,NVDA250620C00069000,2025-06-16 09:34:00,69,75.11,75.50,76.20,0.00,0.00%,30.0,1.734,3.5858999999999996,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
139,NVDA250620C00070000,2025-06-17 12:35:00,70,75.00,74.60,75.20,0.30,0.40%,650.0,11.466,3.6016000000000004,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
140,NVDA250620C00070500,2025-06-16 09:32:00,70.5,73.48,74.00,74.70,0.00,0.00%,4.0,1.582,3.4901999999999997,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
141,NVDA250620C00071000,2025-06-16 15:41:00,71,73.92,73.45,74.15,0.24,0.33%,15.0,3.525,3.373,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
142,NVDA250620C00072000,2025-06-17 09:56:00,72,72.73,72.60,73.20,0.12,0.17%,1.0,5.83,3.4766000000000004,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
143,NVDA250620C00073000,2025-06-17 09:56:00,73,71.73,71.40,72.20,-0.33,-0.46%,1.0,3.732,3.2539,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
144,NVDA250620C00074000,2025-06-17 09:30:00,74,70.41,70.40,71.20,0.66,0.95%,6.0,1.763,3.1952999999999996,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
145,NVDA250620C00075000,2025-06-17 09:31:00,75,70.05,69.45,70.15,0.35,0.50%,2.0,7.463,3.1367000000000003,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
147,NVDA250620C00077000,2025-06-13 14:26:00,77,64.97,67.55,68.20,0.00,0.00%,46.0,5.458,3.1406,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
148,NVDA250620C00078000,2025-06-16 15:52:00,78,66.45,66.60,67.20,0.00,0.00%,118.0,3.287,3.1172000000000004,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
149,NVDA250620C00079000,2025-06-17 12:51:00,79,65.79,65.55,66.20,-0.01,-0.02%,101.0,1.554,3.0273000000000003,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
150,NVDA250620C00080000,2025-06-17 09:30:00,80,64.39,64.55,65.20,-0.21,-0.33%,22.0,11.183,2.9707,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
151,NVDA250620C00081000,2025-06-16 10:19:00,81,63.61,63.50,64.20,0.00,0.00%,10.0,2.114,2.8808999999999996,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
152,NVDA250620C00082000,2025-06-13 15:58:00,82,59.95,62.55,63.35,0.00,0.00%,1.0,2.673,2.9551,"Jun 20, 2025",2025-06-20,call,6,2025-06-13,short
153,NVDA250620C00083000,2025-06-16 11:17:00,83,62.80,61.75,62.20,0.00,0.00%,5.0,3.317,2.9297000000000004,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
154,NVDA250620C00084000,2025-06-17 10:51:00,84,60.60,60.50,61.40,0.49,0.82%,2.0,2.611,2.8457,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
155,NVDA250620C00085000,2025-06-17 13:03:00,85,59.60,59.40,60.10,0.10,0.17%,10.0,9.692,2.5215,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
156,NVDA250620C00086000,2025-06-17 11:04:00,86,58.75,58.50,59.20,-0.29,-0.49%,2.0,3.275,2.6172000000000004,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
157,NVDA250620C00088000,2025-06-17 12:55:00,88,56.50,56.65,57.20,-1.19,-2.06%,41.0,2.813,2.6035000000000004,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
158,NVDA250620C00090000,2025-06-17 12:50:00,90,54.77,54.75,55.10,0.12,0.22%,123.0,88.663,2.502,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
159,NVDA250620C00092000,2025-06-17 13:01:00,92,52.50,52.50,53.00,-1.55,-2.87%,6.0,3.026,2.1875,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
160,NVDA250620C00093000,2025-06-16 12:21:00,93,52.97,51.35,52.20,0.00,0.00%,25.0,3.011,2.1758,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
161,NVDA250620C00094000,2025-06-17 12:28:00,94,51.05,50.55,51.20,0.55,1.09%,2.0,2.864,2.25,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
162,NVDA250620C00095000,2025-06-17 12:06:00,95,49.40,49.70,49.95,-0.19,-0.38%,27.0,23.249,2.1445,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
163,NVDA250620C00096000,2025-06-17 11:44:00,96,48.67,48.85,48.95,0.02,0.04%,2.0,3.535,2.1797,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
164,NVDA250620C00097000,2025-06-17 10:27:00,97,47.40,47.85,47.95,-1.60,-3.27%,11.0,1.568,2.1328,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
165,NVDA250620C00098000,2025-06-17 10:06:00,98,46.73,46.80,46.90,-0.57,-1.21%,5.0,3.228,2.0352,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
166,NVDA250620C00099000,2025-06-17 11:03:00,99,45.58,45.85,45.95,-0.67,-1.45%,5.0,15.731,2.0391,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
167,NVDA250620C00100000,2025-06-17 12:47:00,100,44.85,44.90,44.95,0.25,0.56%,331.0,46.319,2.0176,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
168,NVDA250620C00101000,2025-06-17 11:29:00,101,43.63,43.90,43.95,-0.10,-0.23%,11.0,8.634,1.9707,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
169,NVDA250620C00102000,2025-06-17 09:54:00,102,42.62,42.90,42.95,0.02,0.05%,6.0,5.226,1.9238,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
170,NVDA250620C00103000,2025-06-17 13:10:00,103,41.85,41.80,41.85,-0.07,-0.17%,14.0,4.043,1.7852000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
171,NVDA250620C00104000,2025-06-17 12:13:00,104,41.00,40.90,41.00,0.65,1.61%,3.0,3.776,1.8555000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
172,NVDA250620C00105000,2025-06-17 12:32:00,105,40.05,39.80,39.90,0.35,0.88%,34.0,23.464,1.7227000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
173,NVDA250620C00106000,2025-06-17 11:48:00,106,38.59,38.90,38.95,-1.21,-3.04%,9.0,6.305,1.7441,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
174,NVDA250620C00107000,2025-06-17 12:00:00,107,37.90,37.90,37.95,-0.18,-0.47%,53.0,7.13,1.7002000000000002,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
175,NVDA250620C00108000,2025-06-16 15:47:00,108,37.00,36.80,36.90,0.21,0.57%,2.0,6.684,1.5937999999999999,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
176,NVDA250620C00109000,2025-06-17 12:14:00,109,36.06,35.90,36.00,-0.23,-0.63%,26.0,4.794,1.6309,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
177,NVDA250620C00110000,2025-06-17 13:04:00,110,34.66,34.90,34.95,-0.06,-0.17%,498.0,52.504,1.5684,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
178,NVDA250620C00111000,2025-06-17 12:38:00,111,34.00,33.85,33.95,0.47,1.40%,3.0,5.681,1.5068000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
179,NVDA250620C00112000,2025-06-17 13:09:00,112,32.90,32.90,33.00,0.10,0.30%,34.0,14.388,1.501,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
180,NVDA250620C00113000,2025-06-17 11:39:00,113,31.40,31.90,31.95,-0.74,-2.30%,10.0,11.56,1.4404,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
181,NVDA250620C00114000,2025-06-16 14:13:00,114,31.15,30.85,30.95,0.00,0.00%,89.0,7.574,1.3799000000000001,"Jun 20, 2025",2025-06-20,call,3,2025-06-16,short
182,NVDA250620C00115000,2025-06-17 13:14:00,115,29.90,29.85,29.90,0.35,1.18%,311.0,52.502,1.3203,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
183,NVDA250620C00116000,2025-06-17 13:07:00,116,28.60,28.90,28.95,-0.25,-0.87%,13.0,6.272,1.3135,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
184,NVDA250620C00117000,2025-06-17 12:37:00,117,28.11,27.95,28.00,0.36,1.30%,38.0,13.449,1.3027000000000002,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
185,NVDA250620C00118000,2025-06-17 13:05:00,118,26.55,26.85,26.95,-0.09,-0.34%,75.0,15.092,1.2139,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
186,NVDA250620C00119000,2025-06-17 12:57:00,119,25.59,25.90,25.95,-0.40,-1.54%,31.0,8.948,1.1885,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
187,NVDA250620C00120000,2025-06-17 13:11:00,120,24.95,24.90,24.95,0.28,1.13%,5.254,58.726,1.1475,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
188,NVDA250620C00121000,2025-06-17 12:56:00,121,23.67,23.95,24.00,-0.18,-0.75%,20.0,9.847,1.1348,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
189,NVDA250620C00122000,2025-06-17 13:13:00,122,22.99,22.90,22.95,0.29,1.28%,88.0,9.147,1.0645,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
190,NVDA250620C00123000,2025-06-17 13:14:00,123,21.95,21.90,22.00,-0.04,-0.18%,63.0,11.742,1.0371,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
191,NVDA250620C00124000,2025-06-17 13:08:00,124,20.84,20.95,21.00,0.24,1.17%,121.0,7.532,1.0088,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
192,NVDA250620C00125000,2025-06-17 13:12:00,125,20.00,19.95,20.05,0.30,1.52%,282.0,34.888,0.9795,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
193,NVDA250620C00126000,2025-06-17 12:44:00,126,18.94,18.95,19.00,0.35,1.88%,70.0,6.938,0.9258,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
194,NVDA250620C00127000,2025-06-17 10:37:00,127,18.08,17.95,18.00,0.33,1.86%,35.0,5.577,0.8848,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
195,NVDA250620C00128000,2025-06-17 13:15:00,128,16.99,17.00,17.05,0.42,2.53%,58.0,7.593,0.8652,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
196,NVDA250620C00129000,2025-06-17 12:51:00,129,15.95,15.95,16.00,0.18,1.14%,131.0,8.418,0.8018000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
197,NVDA250620C00130000,2025-06-17 13:14:00,130,15.03,14.90,15.00,0.18,1.21%,867.0,88.309,0.7490000000000001,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
198,NVDA250620C00131000,2025-06-17 13:08:00,131,13.90,13.95,14.00,0.00,0.00%,33.0,3.345,0.7178,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
199,NVDA250620C00132000,2025-06-17 13:06:00,132,12.60,12.95,13.05,-0.20,-1.56%,263.0,12.673,0.6856,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
200,NVDA250620C00133000,2025-06-17 13:14:00,133,12.05,11.95,12.05,0.30,2.55%,87.0,1.529,0.6436,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
201,NVDA250620C00134000,2025-06-17 13:12:00,134,11.01,11.05,11.10,0.21,1.94%,430.0,10.784,0.6265,"Jun 20, 2025",2025-06-20,call,2,2025-06-17,short
