,contract_name,last_trade_date_(edt),strike,last_price,bid,ask,change,%_change,volume,open_interest,implied_volatility,expiry_sheet,expiry_date
47,AAPL250620C00205000,6/17/2025 3:59 PM,205,0.10,0.00,0.00,0.00,0.00%,26.441,0,12.50%,"Jun 20, 2025",2025-06-20
48,AAPL250620C00207500,6/17/2025 3:59 PM,207.5,0.06,0.00,0.00,0.00,0.00%,8.269,0,12.50%,"Jun 20, 2025",2025-06-20
49,AAPL250620C00210000,6/17/2025 3:59 PM,210,0.04,0.00,0.00,0.00,0.00%,15.281,0,12.50%,"Jun 20, 2025",2025-06-20
50,AAPL250620C00212500,6/17/2025 3:59 PM,212.5,0.02,0.00,0.00,0.00,0.00%,2.042,0,25.00%,"Jun 20, 2025",2025-06-20
51,AAPL250620C00215000,6/17/2025 3:59 PM,215,0.02,0.00,0.00,0.00,0.00%,3.388,0,25.00%,"Jun 20, 2025",2025-06-20
52,AAPL250620C00217500,6/17/2025 3:58 PM,217.5,0.01,0.00,0.00,0.00,0.00%,443,0,25.00%,"Jun 20, 2025",2025-06-20
53,AAPL250620C00220000,6/17/2025 3:58 PM,220,0.02,0.00,0.00,0.00,0.00%,2.653,0,25.00%,"Jun 20, 2025",2025-06-20
54,AAPL250620C00222500,6/17/2025 3:26 PM,222.5,0.01,0.00,0.00,0.00,0.00%,221,0,25.00%,"Jun 20, 2025",2025-06-20
55,AAPL250620C00225000,6/17/2025 3:50 PM,225,0.01,0.00,0.00,0.00,0.00%,913,0,25.00%,"Jun 20, 2025",2025-06-20
56,AAPL250620C00227500,6/17/2025 11:53 AM,227.5,0.01,0.00,0.00,0.00,0.00%,24,0,25.00%,"Jun 20, 2025",2025-06-20
57,AAPL250620C00230000,6/17/2025 3:53 PM,230,0.01,0.00,0.00,0.00,0.00%,769,0,50.00%,"Jun 20, 2025",2025-06-20
58,AAPL250620C00232500,6/17/2025 10:22 AM,232.5,0.01,0.00,0.00,0.00,0.00%,9,0,50.00%,"Jun 20, 2025",2025-06-20
59,AAPL250620C00235000,6/17/2025 3:48 PM,235,0.01,0.00,0.00,0.00,0.00%,51,0,50.00%,"Jun 20, 2025",2025-06-20
60,AAPL250620C00240000,6/17/2025 3:59 PM,240,0.01,0.00,0.00,0.00,0.00%,424,0,50.00%,"Jun 20, 2025",2025-06-20
61,AAPL250620C00245000,6/17/2025 3:37 PM,245,0.01,0.00,0.00,0.00,0.00%,33,0,50.00%,"Jun 20, 2025",2025-06-20
62,AAPL250620C00250000,6/17/2025 2:45 PM,250,0.01,0.00,0.00,0.00,0.00%,16,0,50.00%,"Jun 20, 2025",2025-06-20
63,AAPL250620C00255000,6/17/2025 1:33 PM,255,0.01,0.00,0.00,0.00,0.00%,18,0,50.00%,"Jun 20, 2025",2025-06-20
64,AAPL250620C00260000,6/17/2025 2:43 PM,260,0.01,0.00,0.00,0.00,0.00%,56,0,50.00%,"Jun 20, 2025",2025-06-20
65,AAPL250620C00265000,6/17/2025 2:16 PM,265,0.01,0.00,0.00,0.00,0.00%,8,0,50.00%,"Jun 20, 2025",2025-06-20
66,AAPL250620C00270000,6/17/2025 12:42 PM,270,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
67,AAPL250620C00275000,6/17/2025 3:40 PM,275,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
68,AAPL250620C00280000,6/16/2025 3:11 PM,280,0.01,0.00,0.00,0.00,0.00%,446,0,50.00%,"Jun 20, 2025",2025-06-20
69,AAPL250620C00285000,6/13/2025 1:55 PM,285,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
70,AAPL250620C00290000,6/16/2025 11:06 AM,290,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
71,AAPL250620C00295000,6/13/2025 10:23 AM,295,0.01,0.00,0.00,0.00,0.00%,23,0,50.00%,"Jun 20, 2025",2025-06-20
72,AAPL250620C00300000,6/17/2025 3:04 PM,300,0.01,0.00,0.00,0.00,0.00%,16,0,50.00%,"Jun 20, 2025",2025-06-20
73,AAPL250620C00305000,6/17/2025 9:30 AM,305,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
74,AAPL250620C00310000,2025-12-06 12:15:00,310,0.01,0.00,0.00,0.00,0.00%,10,0,50.00%,"Jun 20, 2025",2025-06-20
75,AAPL250620C00320000,6/16/2025 2:20 PM,320,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
76,AAPL250620C00330000,2025-05-06 13:48:00,330,0.01,0.00,0.00,0.00,0.00%,6,0,50.00%,"Jun 20, 2025",2025-06-20
77,AAPL250620C00340000,5/23/2025 12:47 PM,340,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
78,AAPL250620C00350000,6/17/2025 1:44 PM,350,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
79,AAPL250620C00360000,6/17/2025 9:30 AM,360,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
80,Puts,,,,,,,,,,,"Jun 20, 2025",2025-06-20
81,In The Money,,,,,,,,,,,"Jun 20, 2025",2025-06-20
82,Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,"Jun 20, 2025",2025-06-20
83,AAPL250620P00005000,6/16/2025 10:11 AM,5,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
84,AAPL250620P00010000,6/16/2025 9:30 AM,10,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
85,AAPL250620P00015000,4/25/2025 9:30 AM,15,0.01,0.00,0.01,0.00,0.00%,48,61,850.00%,"Jun 20, 2025",2025-06-20
86,AAPL250620P00020000,2025-04-06 09:30:00,20,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
87,AAPL250620P00025000,4/29/2025 1:44 PM,25,0.01,0.00,0.01,0.00,0.00%,20,102,675.00%,"Jun 20, 2025",2025-06-20
88,AAPL250620P00030000,2025-10-04 14:10:00,30,0.03,0.00,0.01,0.00,0.00%,50,114,625.00%,"Jun 20, 2025",2025-06-20
89,AAPL250620P00035000,2025-03-06 11:12:00,35,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
90,AAPL250620P00040000,2025-11-04 14:57:00,40,0.04,0.00,0.01,0.00,0.00%,1,44,525.00%,"Jun 20, 2025",2025-06-20
91,AAPL250620P00045000,5/27/2025 9:30 AM,45,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
92,AAPL250620P00050000,6/16/2025 9:30 AM,50,0.05,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
93,AAPL250620P00055000,2025-02-05 09:46:00,55,0.01,0.00,0.21,0.00,0.00%,125,1.372,560.94%,"Jun 20, 2025",2025-06-20
94,AAPL250620P00060000,2025-02-05 09:46:00,60,0.01,0.00,0.21,0.00,0.00%,112,2.042,524.22%,"Jun 20, 2025",2025-06-20
95,AAPL250620P00065000,5/23/2025 10:14 AM,65,0.01,0.00,0.00,0.00,0.00%,4,0,50.00%,"Jun 20, 2025",2025-06-20
96,AAPL250620P00070000,5/23/2025 1:35 PM,70,0.01,0.00,0.00,0.00,0.00%,969,0,50.00%,"Jun 20, 2025",2025-06-20
97,AAPL250620P00075000,5/30/2025 3:59 PM,75,0.01,0.00,0.00,0.00,0.00%,34,0,50.00%,"Jun 20, 2025",2025-06-20
98,AAPL250620P00080000,2025-11-06 11:53:00,80,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
99,AAPL250620P00085000,6/13/2025 1:14 PM,85,0.01,0.00,0.00,0.00,0.00%,5,0,50.00%,"Jun 20, 2025",2025-06-20
100,AAPL250620P00090000,2025-12-06 14:15:00,90,0.01,0.00,0.00,0.00,0.00%,4,0,50.00%,"Jun 20, 2025",2025-06-20
101,AAPL250620P00095000,2025-09-06 15:57:00,95,0.01,0.00,0.00,0.00,0.00%,500,0,50.00%,"Jun 20, 2025",2025-06-20
102,AAPL250620P00100000,6/16/2025 10:24 AM,100,0.01,0.00,0.00,0.00,0.00%,2,0,50.00%,"Jun 20, 2025",2025-06-20
103,AAPL250620P00105000,2025-09-06 13:45:00,105,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
104,AAPL250620P00110000,6/13/2025 9:45 AM,110,0.01,0.01,0.00,0.00,0.00%,1,0,196.88%,"Jun 20, 2025",2025-06-20
105,AAPL250620P00115000,6/13/2025 2:55 PM,115,0.01,0.00,0.00,0.00,0.00%,50,0,50.00%,"Jun 20, 2025",2025-06-20
106,AAPL250620P00120000,6/13/2025 3:15 PM,120,0.01,0.00,0.00,0.00,0.00%,1.501,0,50.00%,"Jun 20, 2025",2025-06-20
107,AAPL250620P00125000,6/17/2025 3:05 PM,125,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%,"Jun 20, 2025",2025-06-20
108,AAPL250620P00130000,6/17/2025 12:41 PM,130,0.01,0.00,0.00,0.00,0.00%,8,0,50.00%,"Jun 20, 2025",2025-06-20
109,AAPL250620P00135000,6/17/2025 3:05 PM,135,0.01,0.00,0.00,0.00,0.00%,3,0,50.00%,"Jun 20, 2025",2025-06-20
110,AAPL250620P00140000,6/17/2025 3:54 PM,140,0.01,0.00,0.00,0.00,0.00%,22,0,50.00%,"Jun 20, 2025",2025-06-20
111,AAPL250620P00145000,6/17/2025 1:15 PM,145,0.01,0.00,0.00,0.00,0.00%,132,0,50.00%,"Jun 20, 2025",2025-06-20
112,AAPL250620P00150000,6/17/2025 2:44 PM,150,0.01,0.00,0.00,0.00,0.00%,96,0,50.00%,"Jun 20, 2025",2025-06-20
113,AAPL250620P00155000,6/17/2025 3:59 PM,155,0.01,0.00,0.00,0.00,0.00%,57,0,50.00%,"Jun 20, 2025",2025-06-20
114,AAPL250620P00160000,6/17/2025 3:09 PM,160,0.02,0.00,0.00,0.00,0.00%,88,0,50.00%,"Jun 20, 2025",2025-06-20
115,AAPL250620P00165000,6/17/2025 3:54 PM,165,0.04,0.00,0.00,0.00,0.00%,261,0,50.00%,"Jun 20, 2025",2025-06-20
116,AAPL250620P00170000,6/17/2025 3:54 PM,170,0.04,0.00,0.00,0.00,0.00%,589,0,25.00%,"Jun 20, 2025",2025-06-20
117,AAPL250620P00172500,6/17/2025 3:52 PM,172.5,0.05,0.00,0.00,0.00,0.00%,-,0,25.00%,"Jun 20, 2025",2025-06-20
118,AAPL250620P00175000,6/17/2025 3:59 PM,175,0.05,0.00,0.00,0.00,0.00%,732,0,25.00%,"Jun 20, 2025",2025-06-20
119,AAPL250620P00177500,6/17/2025 3:46 PM,177.5,0.07,0.00,0.00,0.00,0.00%,1.854,0,25.00%,"Jun 20, 2025",2025-06-20
120,AAPL250620P00180000,6/17/2025 3:59 PM,180,0.08,0.00,0.00,0.00,0.00%,1.755,0,25.00%,"Jun 20, 2025",2025-06-20
121,AAPL250620P00182500,6/17/2025 3:58 PM,182.5,0.12,0.00,0.00,0.00,0.00%,2.437,0,12.50%,"Jun 20, 2025",2025-06-20
122,AAPL250620P00185000,6/17/2025 3:59 PM,185,0.17,0.00,0.00,0.00,0.00%,2.855,0,12.50%,"Jun 20, 2025",2025-06-20
123,AAPL250620P00187500,6/17/2025 3:59 PM,187.5,0.31,0.00,0.00,0.00,0.00%,7.659,0,12.50%,"Jun 20, 2025",2025-06-20
124,AAPL250620P00190000,6/17/2025 3:59 PM,190,0.56,0.00,0.00,0.00,0.00%,14.884,0,6.25%,"Jun 20, 2025",2025-06-20
125,AAPL250620P00192500,6/17/2025 3:59 PM,192.5,1.00,0.00,0.00,0.00,0.00%,20.442,0,6.25%,"Jun 20, 2025",2025-06-20
126,AAPL250620P00195000,6/17/2025 3:59 PM,195,1.80,0.00,0.00,0.00,0.00%,37.519,0,1.56%,"Jun 20, 2025",2025-06-20
127,AAPL250620P00197500,6/17/2025 3:59 PM,197.5,3.14,0.00,0.00,0.00,0.00%,20.018,0,0.00%,"Jun 20, 2025",2025-06-20
128,AAPL250620P00200000,6/17/2025 3:59 PM,200,4.85,0.00,0.00,0.00,0.00%,11.465,0,0.00%,"Jun 20, 2025",2025-06-20
129,AAPL250620P00202500,6/17/2025 3:58 PM,202.5,7.07,0.00,0.00,0.00,0.00%,1.888,0,0.00%,"Jun 20, 2025",2025-06-20
130,AAPL250620P00205000,6/17/2025 3:57 PM,205,9.40,0.00,0.00,0.00,0.00%,766,0,0.00%,"Jun 20, 2025",2025-06-20
131,AAPL250620P00207500,6/17/2025 3:55 PM,207.5,11.80,0.00,0.00,0.00,0.00%,246,0,0.00%,"Jun 20, 2025",2025-06-20
132,AAPL250620P00210000,6/17/2025 3:59 PM,210,14.35,0.00,0.00,0.00,0.00%,23.572,0,0.00%,"Jun 20, 2025",2025-06-20
133,AAPL250620P00212500,6/17/2025 3:54 PM,212.5,16.95,0.00,0.00,0.00,0.00%,614,0,0.00%,"Jun 20, 2025",2025-06-20
134,AAPL250620P00215000,6/17/2025 3:55 PM,215,19.40,0.00,0.00,0.00,0.00%,37.318,0,0.00%,"Jun 20, 2025",2025-06-20
135,AAPL250620P00217500,6/17/2025 3:45 PM,217.5,22.15,0.00,0.00,0.00,0.00%,20,0,0.00%,"Jun 20, 2025",2025-06-20
136,AAPL250620P00220000,6/17/2025 3:45 PM,220,24.45,0.00,0.00,0.00,0.00%,53.196,0,0.00%,"Jun 20, 2025",2025-06-20
137,AAPL250620P00222500,6/17/2025 2:50 PM,222.5,26.80,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 20, 2025",2025-06-20
138,AAPL250620P00225000,6/17/2025 3:51 PM,225,29.45,0.00,0.00,0.00,0.00%,34.02,0,0.00%,"Jun 20, 2025",2025-06-20
139,AAPL250620P00227500,6/17/2025 1:11 PM,227.5,30.92,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
140,AAPL250620P00230000,6/17/2025 3:54 PM,230,34.32,0.00,0.00,0.00,0.00%,42.086,0,0.00%,"Jun 20, 2025",2025-06-20
141,AAPL250620P00232500,6/17/2025 1:11 PM,232.5,35.90,0.00,0.00,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
142,AAPL250620P00235000,6/17/2025 3:45 PM,235,39.28,0.00,0.00,0.00,0.00%,46.401,0,0.00%,"Jun 20, 2025",2025-06-20
143,AAPL250620P00240000,6/17/2025 3:45 PM,240,44.30,0.00,0.00,0.00,0.00%,13.505,0,0.00%,"Jun 20, 2025",2025-06-20
144,AAPL250620P00245000,6/17/2025 3:45 PM,245,49.80,0.00,0.00,0.00,0.00%,11.16,0,0.00%,"Jun 20, 2025",2025-06-20
145,AAPL250620P00250000,6/17/2025 3:45 PM,250,54.25,0.00,0.00,0.00,0.00%,14.285,0,0.00%,"Jun 20, 2025",2025-06-20
146,AAPL250620P00255000,6/17/2025 3:45 PM,255,59.65,0.00,0.00,0.00,0.00%,650,0,0.00%,"Jun 20, 2025",2025-06-20
147,AAPL250620P00260000,6/17/2025 3:45 PM,260,64.60,0.00,0.00,0.00,0.00%,950,0,0.00%,"Jun 20, 2025",2025-06-20
148,AAPL250620P00265000,6/17/2025 3:45 PM,265,69.65,0.00,0.00,0.00,0.00%,720,0,0.00%,"Jun 20, 2025",2025-06-20
149,AAPL250620P00270000,6/16/2025 2:14 PM,270,72.01,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
150,AAPL250620P00275000,5/27/2025 12:26 PM,275,74.90,0.00,0.00,0.00,0.00%,8,0,0.00%,"Jun 20, 2025",2025-06-20
151,AAPL250620P00280000,2025-03-04 15:54:00,280,77.50,74.05,75.20,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
152,AAPL250620P00285000,3/27/2025 3:55 PM,285,61.10,75.30,78.20,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
153,AAPL250620P00290000,2025-03-04 09:34:00,290,83.25,84.05,85.35,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
154,AAPL250620P00295000,12/30/2024 10:01 AM,295,43.90,58.25,59.15,0.00,0.00%,5,0,0.00%,"Jun 20, 2025",2025-06-20
155,AAPL250620P00300000,4/23/2025 10:06 AM,300,93.80,104.15,105.20,0.00,0.00%,1,0,224.22%,"Jun 20, 2025",2025-06-20
156,AAPL250620P00310000,4/16/2025 12:53 PM,310,112.77,98.20,99.50,0.00,0.00%,6,0,0.00%,"Jun 20, 2025",2025-06-20
157,AAPL250620P00320000,2025-12-06 15:48:00,320,121.68,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
158,AAPL250620P00330000,2025-12-06 15:48:00,330,131.70,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
159,AAPL250620P00340000,3/27/2025 3:55 PM,340,115.65,129.90,131.50,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
160,AAPL250620P00350000,6/13/2025 9:46 AM,350,153.10,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 20, 2025",2025-06-20
161,AAPL250620P00360000,5/14/2025 2:34 PM,360,148.35,162.75,164.35,0.00,0.00%,1,0,0.00%,"Jun 20, 2025",2025-06-20
162,AAPL250627C00110000,5/28/2025 9:56 AM,110,90.89,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
163,AAPL250627C00120000,2025-05-06 15:15:00,120,82.10,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
164,AAPL250627C00130000,2025-04-06 15:34:00,130,73.60,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
165,AAPL250627C00135000,2025-12-06 13:20:00,135,64.72,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
166,AAPL250627C00140000,2025-04-06 15:21:00,140,63.51,0.00,0.00,0.00,0.00%,1.611,0,0.00%,"Jun 27, 2025",2025-06-27
167,AAPL250627C00145000,5/27/2025 9:31 AM,145,54.65,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 27, 2025",2025-06-27
168,AAPL250627C00150000,6/13/2025 10:10 AM,150,46.75,0.00,0.00,0.00,0.00%,1,0,0.00%,"Jun 27, 2025",2025-06-27
169,AAPL250627C00155000,6/13/2025 11:47 AM,155,43.10,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 27, 2025",2025-06-27
170,AAPL250627C00160000,6/17/2025 1:16 PM,160,36.90,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 27, 2025",2025-06-27
171,AAPL250627C00165000,6/17/2025 10:14 AM,165,32.96,0.00,0.00,0.00,0.00%,2,0,0.00%,"Jun 27, 2025",2025-06-27
172,AAPL250627C00170000,6/17/2025 3:54 PM,170,25.95,0.00,0.00,0.00,0.00%,4,0,0.00%,"Jun 27, 2025",2025-06-27
173,AAPL250627C00172500,6/16/2025 2:36 PM,172.5,25.85,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 27, 2025",2025-06-27
174,AAPL250627C00175000,6/17/2025 3:02 PM,175,21.25,0.00,0.00,0.00,0.00%,3,0,0.00%,"Jun 27, 2025",2025-06-27
175,AAPL250627C00177500,6/17/2025 2:01 PM,177.5,18.95,0.00,0.00,0.00,0.00%,-,0,0.00%,"Jun 27, 2025",2025-06-27
176,AAPL250627C00180000,6/17/2025 3:29 PM,180,16.44,0.00,0.00,0.00,0.00%,82,0,0.00%,"Jun 27, 2025",2025-06-27
177,AAPL250627C00182500,6/17/2025 3:17 PM,182.5,14.30,0.00,0.00,0.00,0.00%,37,0,0.00%,"Jun 27, 2025",2025-06-27
178,AAPL250627C00185000,6/17/2025 3:19 PM,185,11.80,0.00,0.00,0.00,0.00%,54,0,0.00%,"Jun 27, 2025",2025-06-27
